ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2956
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2964
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2976
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2985
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,2995
-0.0198,-0.0096,9.9461,-0.0048,-0.0016,-0.0032,3005
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3014
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3024
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3034
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3045
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3055
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3064
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3074
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3084
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3095
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3106
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3114
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3124
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3134
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3144
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3154
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3164
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3175
-0.0233,-0.0293,9.918,-0.0112,-0.0072,-0.0019,3184
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3195
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3207
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3214
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3225
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3234
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3244
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3257
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3264
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3275
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3284
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3295
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3305
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3315
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3324
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3334
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3344
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3355
-0.0126,-0.006,9.9533,-0.0085,-0.0024,-0.0035,3364
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3375
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3385
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3395
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3406
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3414
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3425
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3435
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3445
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3456
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3464
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3475
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3484
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3495
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3504
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3515
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3524
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3536
-0.0287,-0.0048,9.9503,-0.0069,-0.0029,-0.0016,3544
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3555
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3565
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3575
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3584
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3594
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3604
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3615
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3624
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3634
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3645
-0.0305,-0.0323,9.9365,-0.0072,3.00E-04,-0.0021,3655
